"keyword","ngram","left","right","freq","freq_left","freq_right","pmi","md","lfmd","collocation"
"то ли",2,"то","ли",3,7,12,5.35125476615687,-3.22239242133645,-11.7960396088298,"то ли"
"не знать",2,"не","знать",4,28,6,4.76629226543572,-3.39231742277876,-11.5509271109932,"не знать"
"вот и",2,"вот","и",4,4,58,4.30062869308691,-3.85798099512757,-12.0165906833421,"вот и"
"что я",2,"что","я",4,14,21,3.95893734337811,-4.19967234483636,-12.3582820330508,"что я"
"и я",2,"и","я",4,59,21,1.88364921607388,-6.2749604721406,-14.4335701603551,"и я"
"и не",2,"и","не",3,59,28,1.05357421751619,-7.52007296997713,-16.0937201574705,"и не"
"и в",2,"и","в",3,59,35,0.731646122628827,-7.8420010648645,-16.4156482523578,"и в"
